2024-12-18 23:15:32.176 [info] Reading sessions from keychain...
2024-12-18 23:15:32.176 [info] Getting sessions for all scopes...
2024-12-18 23:15:32.176 [info] Getting sessions for all scopes...
2024-12-18 23:15:32.183 [info] Getting sessions for all scopes...
2024-12-18 23:15:32.183 [info] Getting sessions for all scopes...
2024-12-18 23:15:32.183 [info] Getting sessions for all scopes...
2024-12-18 23:15:32.183 [info] Getting sessions for all scopes...
2024-12-18 23:15:32.183 [info] Getting sessions for all scopes...
2024-12-18 23:15:32.183 [info] Got 0 sessions for ...
2024-12-18 23:15:32.183 [info] Got 0 sessions for ...
2024-12-18 23:15:32.183 [info] Got 0 sessions for ...
2024-12-18 23:15:32.183 [info] Got 0 sessions for ...
2024-12-18 23:15:32.183 [info] Got 0 sessions for ...
2024-12-18 23:15:32.183 [info] Got 0 sessions for ...
2024-12-18 23:15:32.183 [info] Got 0 sessions for ...
2024-12-18 23:15:32.306 [info] Getting sessions for all scopes...
2024-12-18 23:15:32.306 [info] Got 0 sessions for ...
2024-12-18 23:15:32.621 [info] Getting sessions for read:user,repo,user:email,workflow...
2024-12-18 23:15:32.621 [info] Got 0 sessions for read:user,repo,user:email,workflow...
2024-12-18 23:15:34.180 [info] Getting sessions for all scopes...
2024-12-18 23:15:34.180 [info] Got 0 sessions for ...
